abandon	動	放棄する	abandon a plan	計画を放棄する
ability	名	能力	innate ability	生まれつきの能力
abolish	動	廃止する	abolish a law	法律を廃止する
abroad	副	海外で	study abroad	海外で学ぶ
absence	名	不在	in one's absence	不在のあいだに
absolute	形	絶対的な	absolute certainty	絶対的な確信
absorb	動	吸収する	absorb moisture	水分を吸収する
abstract	形	抽象的な	abstract concept	抽象的な概念
abundant	形	豊富な	abundant resources	豊富な資源
abuse	名	乱用	abuse of power	権力の乱用
academic	形	学術の	academic research	学術研究
accelerate	動	加速する	accelerate growth	成長を加速する
accept	動	受け入れる	accept an offer	申し出を受け入れる
access	名	利用する権利	gain access	利用権を得る
accident	名	事故	traffic accident	交通事故
accommodate	動	収容する	accommodate guests	客を収容する
accompany	動	同行する	accompany a visitor	来訪者に同行する
accomplish	動	成し遂げる	accomplish a task	課題を成し遂げる
accord	名	協定	reach an accord	協定に達する
account	名	説明	give an account	説明を述べる
accumulate	動	蓄積する	accumulate wealth	富を蓄積する
accurate	形	正確な	accurate estimate	正確な見積もり
accuse	動	非難する	accuse of fraud	詐欺で非難する
achieve	動	達成する	achieve a goal	目標を達成する
acknowledge	動	認める	acknowledge a mistake	誤りを認める
acquire	動	習得する	acquire a skill	技能を習得する
adapt	動	適応する	adapt to change	変化に適応する
adequate	形	十分な	adequate funding	十分な資金
adjust	動	調整する	adjust the settings	設定を調整する
administer	動	運営する	administer a program	事業を運営する
admire	動	賞賛する	admire courage	勇気を賞賛する
admit	動	認める	admit an error	誤りを認める
adopt	動	採用する	adopt a policy	方針を採用する
advance	動	前進する	advance a theory	理論を前進させる
advantage	名	利点	competitive advantage	競争上の利点
adventure	名	冒険	seek adventure	冒険を求める
advertise	動	宣伝する	advertise a product	製品を宣伝する
advice	名	助言	sound advice	的確な助言
advise	動	助言する	advise caution	慎重さを助言する
advocate	動	提唱する	advocate reform	改革を提唱する
affect	動	影響する	affect the outcome	結果に影響する
afford	動	余裕がある	afford a delay	遅れを許容できる
agency	名	機関	government agency	政府機関
agenda	名	議題	set the agenda	議題を設定する
agent	名	代理人	travel agent	旅行代理人
aggressive	形	積極的な	aggressive strategy	積極的な戦略
agriculture	名	農業	modern agriculture	近代農業
aid	名	援助	financial aid	資金援助
aim	名	目的	primary aim	主要な目的
alarm	名	警報	raise the alarm	警報を発する
alert	形	油断のない	stay alert	油断しない
